org_label,new_label,prob
0,9,0.44
1,7,0.44
2,5,0.44
3,8,0.44
4,6,0.44
5,2,0.44
6,0,0.44
7,4,0.44
8,3,0.44
9,1,0.44
0,-1,0.0
1,-1,0.0
2,-1,0.0
3,-1,0.0
4,-1,0.0
5,-1,0.0
6,-1,0.0
7,-1,0.0
8,-1,0.0
9,-1,0.0
