[[1841  225  261  238  253  271  241  248  286 2059]
 [ 286 2173  279  330  300  278  252 2340  238  266]
 [ 281  247 1925  244  235 2071  230  250  254  221]
 [ 255  253  221 1985  246  265  265  247 2124  270]
 [ 266  215  269  218 1874  225  243  282  263 1987]
 [ 221  190 1870  214  236 1737  228  229  263  233]
 [ 257  293  291  287  266 1475 2192  281  298  278]
 [ 247 2104  251  256  251  270  297 2048  270  271]
 [ 262  243  248 1957  248  246  237  254 1901  255]
 [ 252  245  227  271 2052  244  234  264  232 1928]]
